"Comment","Designator","Footprint","LCSC Part #"
"100n/50V","C1,C2,C3,C5,C6","C_0603_1608Metric","C14663"
"4u7/16V","C4,C7","C_0603_1608Metric","C19666"
"SP0503BAHT","D1","SOT-143","C7074"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_XKB_U262-16XN-4BVC11","C165948"
"S8550","Q2","SOT-23","C105432"
"S8050","Q4","SOT-23","C2146"
"5k1","R1,R2","R_0603_1608Metric","C23186"
"24k","R4","R_0603_1608Metric","C23352"
"47k","R5","R_0603_1608Metric","C25819"
"1k","R7","R_0603_1608Metric","C21190"
"10k","R12","R_0603_1608Metric","C25804"
"180R","R13","R_0603_1608Metric","C22828"
"13k","R14,R15,R16","R_0603_1608Metric","C22797"
"CP2102N-Axx-xQFN20","U2","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","C969913"
"74LVC2G17","U3","SC-74-6_1.5x2.9mm_P0.95mm","C513289"
